time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
53.947903,70,1.745954,0.250000,0.061281,0.061281,1.618738,1.866365,1.625000,0.249422,0.062259,0.533071,2.126513,2.116437
56.347725,88,0.837020,0.000000,0.000000,0.000000,0.777232,0.896807,0.119574,0.119574,0.000000,0.000000,0.777232,0.896807
57.148010,48,2.698122,0.000000,0.062532,0.062532,0.196853,0.321917,0.250127,0.500254,0.000000,0.000000,1.697614,1.697614
58.049088,66,0.550144,0.500113,0.000000,0.000000,0.000000,1.625367,3.125705,0.000000,0.000000,0.062514,0.350094,0.225066
59.348637,71,0.000000,0.125001,0.062501,0.062501,2.000018,0.314603,0.379204,0.000000,0.062501,3.250029,1.625014,1.875017
60.147610,29,0.250127,0.000000,1.625825,0.000000,0.277951,1.625825,0.062532,0.000000,0.000000,0.775911,0.277951,0.277951
61.248398,104,0.000000,0.062503,0.160947,1.875084,0.250011,0.348455,0.000000,0.062503,1.500067,1.625072,1.750078,0.000000
62.049068,93,0.249810,0.062452,0.000000,0.360299,0.301281,1.623763,0.000000,0.000000,0.308828,1.932591,0.360299,0.000000
63.500671,43,1.624996,0.000000,0.249999,0.000000,1.687496,0.000000,0.000000,1.624996,0.062500,0.000000,0.000000,0.312499
63.500671,43,1.624996,0.000000,0.249999,0.000000,1.687496,0.000000,0.000000,1.624996,0.062500,0.000000,0.000000,0.312499
63.547157,96,3.629169,0.300000,1.527778,0.000000,2.961113,0.000000,1.475000,1.795836,0.131250,0.300000,0.000000,0.525000
63.598244,96,2.688232,0.266461,1.731996,0.300000,2.441096,0.000000,1.731996,1.324498,1.578472,0.266461,0.066615,0.396525
63.649643,45,2.763303,0.323148,1.555641,0.287037,2.100852,0.000000,1.555641,1.226009,1.865741,2.239815,0.059954,0.356873
63.696777,45,2.022089,0.064583,1.134062,1.617593,1.436205,0.000000,0.784413,0.914952,1.555641,1.547068,0.300000,0.260160
63.800732,46,1.443277,0.053958,0.834767,1.807191,1.074502,0.287037,0.571837,0.678940,1.354769,1.402917,1.865741,0.189657
63.847244,46,1.335387,0.000000,0.751290,1.555247,0.967052,0.258333,0.514653,0.611046,2.458833,1.262625,1.547068,0.170691
63.899296,46,0.930876,0.300000,0.564938,1.046650,0.704981,0.257316,1.711151,0.401746,1.577394,0.920454,1.672554,0.124434
63.998177,42,0.918564,1.988683,0.364944,0.763008,0.513931,1.920772,1.731996,0.292873,1.582037,0.691154,1.290571,0.000000
64.148186,42,0.700198,1.684012,0.266044,0.556233,0.374656,1.558796,1.593298,0.164129,1.183870,0.511492,0.929736,0.000000
64.197952,89,0.698571,1.271999,0.193946,0.405494,1.607544,2.664140,1.449819,0.079767,0.938041,0.404172,0.688866,0.300000
64.247650,89,0.645751,1.144799,0.174552,0.364944,1.937531,2.888467,1.304837,0.071790,0.848496,0.368014,0.619979,0.287037
64.347153,89,1.862058,0.834559,0.084739,1.527778,1.701409,2.301209,0.951226,0.427335,0.629667,0.275923,0.576920,0.253704
64.398529,40,1.681837,0.608393,1.527778,1.392361,1.617867,1.935677,0.715102,0.290625,0.475016,0.460114,0.434374,0.248903
64.446617,40,1.513653,2.166667,1.865741,1.253125,1.629755,1.825443,0.647851,0.261562,0.692271,0.381502,0.390937,0.250732
64.548615,38,2.212501,1.547068,1.555641,0.913528,1.623591,1.334581,0.479925,0.318117,0.536749,0.308680,0.284993,0.249783
64.647270,38,1.807424,1.260069,2.759058,0.599366,1.049160,0.785763,0.317413,0.263455,0.288715,0.534869,0.186984,0.163883
64.701118,29,1.486947,1.020656,2.536798,0.444952,0.850702,1.989310,0.271984,0.216927,0.233859,0.492762,0.151457,0.132745
64.748657,43,1.116572,0.826732,2.191136,0.360411,0.645141,1.920909,0.184851,1.527778,0.189426,0.321899,0.122680,0.182523
